paperid,institutionid,authorids,year
W2926944283,I172901346,['A5104184828' 'A5063274671' 'A5055189332' 'A5063020209' 'A5106823928'],2019
W2989936279,I172901346,['A5039409156' 'A5018885883'],2019
W2992838035,I172901346,['A5027456501'],2019
W2995348878,I172901346,['A5084381364'],2019
W3134116581,I172901346,['A5045953410'],2021
W1186433098,I172901346,['A5070337486'],2015
W2978433747,I172901346,['A5089372593'],2019
W2526354910,I172901346,['A5054892997'],2016
W2559176734,I172901346,['A5056900817' 'A5114027823' 'A5050813946' 'A5000304332'],2016
W2537789278,I172901346,['A5058245127' 'A5034741921'],2016
W2540199883,I172901346,['A5085912962'],2016
W2558634519,I172901346,['A5045172496' 'A5012913220'],2016
W2559865581,I172901346,['A5060018093' 'A5074891387'],2015
W2396193533,I172901346,['A5108027163'],2016
W3122991863,I172901346,['A5058245127'],2021
W1994306462,I172901346,['A5077811157' 'A5030123858' 'A5030906674'],2015
W2560405528,I172901346,['A5032651836'],2016
W2618254515,I172901346,['A5088032016' 'A5001005116' 'A5012569520'],2017
W2739144047,I172901346,['A5034052443'],2017
W2903437015,I172901346,['A5109084238'],2018
W3178123302,I172901346,['A5083398611'],2021
W3187811831,I172901346,['A5027976441' 'A5067947168' 'A5073938137'],2021
W4200385479,I172901346,['A5021152105'],2021
W2885898522,I172901346,['A5113985889' 'A5058382254'],2018
W2907159530,I172901346,['A5021959405'],2018
W3157052696,I172901346,['A5061358524' 'A5108104362'],2021
W2773133305,I172901346,['A5002311112' 'A5027522325' 'A5077218214'],2017
W3194585273,I172901346,['A5049458503' 'A5015876222' 'A5113920360' 'A5087241599' 'A5018629326'],2021
W3196488395,I172901346,['A5088473214' 'A5055947633' 'A5103022770' 'A5085653114' 'A5112451472'],2021
W3198562567,I172901346,['A5020214916' 'A5049473823'],2021
W4281298731,I172901346,['A5045953410'],2022
W4292458167,I172901346,['A5004068766'],2022
W4312203311,I172901346,"['A5080369888' 'A5086911324' 'A5043242743' 'A5051510722' 'A5001571858'
 'A5051086479' 'A5011401455']",2022
W3107024797,I172901346,['A5047094647'],2020
W4386690116,I172901346,['A5006686816' 'A5108932328' 'A5029392627'],2023
W4390672610,I172901346,['A5033523646' 'A5025198736' 'A5026155989' 'A5067768485'],2024
W2950610731,I172901346,['A5013477405' 'A5046179892'],2019
W2994840422,I172901346,['A5071551898'],2019
W3010642154,I172901346,['A5078856125'],2020
W3010770796,I172901346,['A5027979474' 'A5080977802'],2019
W3015736648,I172901346,['A5066500188'],2020
W3030437176,I172901346,['A5035183576' 'A5008231801' 'A5005671590'],2020
